countrycode,country,country_norm,country_barro_lee,year,rgdpo,emp,cn,hc,no_schooling_raw_pct,primary_total_raw_pct,secondary_total_raw_pct,tertiary_total_raw_pct,theta_no_schooling,theta_primary,theta_secondary,theta_tertiary,theta_sum,theta_sum_before_norm,Z_no_schooling,Z_primary,Z_secondary,Z_tertiary,tilde_A,y_observed,K_over_Y,h,ln_y_rel_us,ln_tilde_A_rel_us,ln_K_over_Y_rel_us,ln_h_rel_us,ln_yhat_with_A_rel_us,ln_yhat_without_A_rel_us,ln_capital_factor_rel_us,residual,ln_y_abs,ln_yhat_with_A_abs_us_anchor,ln_yhat_without_A_abs_us_anchor
GMB,Gambia,gambia,Gambia,2010,5301.68603515625,0.5280076861381531,14040.560546875,1.458304762840271,72.7,3.02,22.36,1.93,0.726927307269273,0.0301969803019698,0.2235776422357764,0.0192980701929807,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.7383322769566627,10040.92586972127,2.6483198842349402,1.458304762840271,-2.466871501316138,-0.5435280508198506,-0.32501266247926197,-0.9315319535702087,-1.6375663356296903,-1.0940382848098396,-0.16250633123963096,-0.8293051656864481,9.21442460709362,10.043729772780068,10.58725782359992
GRC,Greece,greece,Greece,2010,324407.4375,4.63715410232544,1916699.875,2.941852807998657,2.79,34.06,36.31,26.84,0.0279,0.3406,0.3631,0.2683999999999999,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.5437678645883652,69958.30424037798,5.908310517695822,2.941852807998657,-0.5256414185592977,-0.162807849791071,0.4774218266781094,-0.22976700366858482,-0.15386394012060114,0.008943909670469846,0.23871091333905467,-0.3717774784386966,11.155654689850461,11.527432168289158,11.690240018080228
GTM,Guatemala,guatemala,Guatemala,2010,101553.3046875,5.213250637054443,322549.5625,1.7620407342910769,31.24,46.18,22.55,0.02,0.3124312431243124,0.4618461846184618,0.2255225522552255,0.0002000200020002,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.8791621766878628,19479.84314540438,3.176160180040916,1.7620407342910769,-1.8041605833296153,-0.46562821609705185,-0.14326511882674198,-0.7423339478648882,-1.279594723375311,-0.8139665072782591,-0.07163255941337097,-0.5245658599543043,9.877135525080144,10.401701385034448,10.8673296011315
HKG,"China, Hong Kong SAR",china hong kong sar,"China, Hong Kong Special Administrative Region",2010,385726.3125,3.493873357772827,1744682.25,3.1425347328186035,6.28,19.75,56.75,17.21,0.0628062806280628,0.1975197519751975,0.5675567556755675,0.1721172117211721,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.511743514712815,110400.77100730452,4.523109244718689,3.1425347328186035,-0.06942371184719676,-0.17547710353179613,0.21026154789716678,-0.1637768792959864,-0.23412320887919913,-0.05864610534740301,0.10513077394858338,0.16469949703200237,11.611872396562562,11.44717289953056,11.622650003062356
HND,Honduras,honduras,Honduras,2010,34200.609375,3.106600046157837,120599.1640625,2.066002130508423,18.72,53.63,22.53,5.12,0.1871999999999999,0.5363,0.2253,0.0512,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.0297682436699205,11009.015923146731,3.5262285165788803,2.066002130508423,-2.3748262629650068,-0.3885326220527229,-0.03870920457315874,-0.5831911914037838,-0.9910784157430861,-0.6025457936903632,-0.019354602286579366,-1.3837478472219207,9.306469845444752,10.690217692666673,11.078750314719397
HRV,Croatia,croatia,Croatia,2010,93659.1328125,1.8147594928741453,429728.34375,3.229398488998413,1.93,8.85,70.93,18.29,0.0192999999999999,0.0885,0.7093,0.1828999999999999,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.6268067646692117,51609.66683478609,4.588216128482531,3.229398488998413,-0.8298318327269598,-0.13068529232685877,0.22455321003749695,-0.13651069974851326,-0.15491938705662356,-0.024234094729764802,0.11227660501874846,-0.6749124456703363,10.8514642756828,11.526376721353136,11.657062013679994
HTI,Haiti,haiti,Haiti,2010,18175.68359375,3.712065935134888,141109.75,1.613298416137695,35.12,36.39,27.47,1.03,0.3511648835116488,0.3638636136386361,0.2746725327467253,0.0102989701029897,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.9237452686190442,4896.379512474779,7.763655725637898,1.613298416137695,-3.185044772418859,-0.44218029619853905,0.7505152264661155,-0.8305258043881626,-0.8974484873536439,-0.4552681911551049,0.3752576132330577,-2.287596285065215,8.4962513359909,10.783847621056115,11.226027917254655
HUN,Hungary,hungary,Hungary,2010,236413.09375,3.92093825340271,1004131.875,3.274661064147949,0.28,1.81,78.48,19.43,0.0028,0.0181,0.7848,0.1943,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.692238434514783,60295.03105406812,4.247361510618529,3.274661064147949,-0.6742911328366556,-0.10608126353525926,0.14735987365466685,-0.12259222145618276,-0.1549935481641086,-0.04891228462884935,0.07367993682733341,-0.519297584672547,11.007004975573103,11.52630256024565,11.63238382378091
IDN,Indonesia,indonesia,Indonesia,2010,1977505.375,108.15474700927734,10173204.0,2.4167702198028564,9.47,48.24,34.79,7.5,0.0947,0.4824,0.3479,0.075,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.197491601948564,18284.036805433723,5.1444633873624745,2.4167702198028564,-1.8675124559742766,-0.3091377139781656,0.33898297049632564,-0.4263745644704714,-0.5660207932004742,-0.2568830792223086,0.1694914852481628,-1.3014916627738025,9.813783652435482,11.115275315209285,11.42441302918745
IND,India,india,India,2010,5621831.5,467.4125061035156,20219374.0,1.966098070144653,42.29,15.63,33.0,9.08,0.4229,0.1563,0.33,0.0908,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.092852413652911,12027.559011771413,3.5965812920575795,1.966098070144653,-2.286340228444411,-0.35792631619199833,-0.018954342289380977,-0.6327556897589014,-1.0001591770955902,-0.6422328609035919,-0.009477171144690487,-1.2861810513488208,9.394955879965348,10.68113693131417,11.039063247506167
IRL,Ireland,ireland,Ireland,2010,241319.515625,1.8831759691238403,1015873.6875,3.031862735748291,0.84,18.09,36.81,44.25,0.0084008400840084,0.1809180918091809,0.3681368136813682,0.4425442544254425,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.8032897990918224,128144.96339249457,4.209662384200304,3.031862735748291,0.07962132017150658,-0.06566058716896483,0.1384443552403951,-0.19962939842002747,-0.19606780796879475,-0.13040722079982991,0.06922217762019754,0.27568912814030133,11.760917428581266,11.485228300440964,11.55088888760993
IRN,Iran (Islamic Republic of),iran islamic republic of,Iran (Islamic Republic of),2010,1410083.0,20.674331665039062,5287025.0,2.121989488601685,16.82,22.39,42.52,18.27,0.1682,0.2239,0.4252,0.1827,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.4048169355494413,68204.52640723057,3.7494424087092746,2.121989488601685,-0.551029897173084,-0.21898046052325848,0.02266904245430279,-0.5564525066786089,-0.764098445974716,-0.5451179854514575,0.011334521227151393,0.21306854880163195,11.130266211236675,10.917197662435044,11.136178122958302
IRQ,Iraq,iraq,Iraq,2010,389782.8125,6.4105424880981445,606313.0,2.173938512802124,28.09,32.88,24.76,14.27,0.2809,0.3288,0.2476,0.1427,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.178747999116089,60803.40520691866,1.5555149702759148,2.173938512802124,-0.6658950353310757,-0.3177038434207484,-0.8571314340597891,-0.5322660880051812,-1.278535648455824,-0.9608318050350757,-0.4285657170298945,0.6126406131247484,11.015401073078683,10.402760459953935,10.720464303374683
ISL,Iceland,iceland,Iceland,2010,13883.66796875,0.1644422709941864,64045.796875,3.0527257919311523,1.53,34.97,35.84,27.65,0.0153015301530153,0.3497349734973497,0.3584358435843585,0.2765276527652764,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.557080282513677,84428.82651043439,4.613031442350626,3.0527257919311523,-0.3376319398072205,-0.15758814994256942,0.22994712512182036,-0.19277169954679563,-0.23538628692845487,-0.07779813698588546,0.11497356256091017,-0.10224565287876564,11.343664168602539,11.445909821481305,11.603497971423874
ISR,Israel,israel,Israel,2010,240089.125,3.380554437637329,801228.625,3.539247989654541,3.05,11.84,41.86,43.25,0.0305,0.1184,0.4185999999999999,0.4325,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.811227018947201,71020.63564691429,3.337213316096679,3.539247989654541,-0.5105703517004905,-0.06283319332538762,-0.09380197322335948,-0.044892321046755335,-0.1546265009838227,-0.09179330765843507,-0.04690098661167973,-0.3559438507166678,11.170725756709269,11.526669607425937,11.589502800751324
ITA,Italy,italy,Italy,2010,2293011.0,24.79245376586914,12506324.0,2.996690273284912,6.3,19.87,61.69,12.13,0.063006300630063,0.1987198719871987,0.6169616961696169,0.1213121312131213,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.4638427631342488,92488.26363273102,5.4541055407060846,2.996690273284912,-0.24645907260529754,-0.19473201293713294,0.3974305398391702,-0.21129815591446732,-0.20731489893201518,-0.012582885994882248,0.19871526991958507,-0.03914417367328238,11.434837035804462,11.473981209477744,11.668713222414876
JAM,Jamaica,jamaica,Jamaica,2010,21172.873046875,1.0949000120162964,157857.5625,2.549626350402832,5.21,22.59,57.46,14.73,0.0521052105210521,0.2259225922592259,0.5746574657465746,0.1473147314731473,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.481256363852316,19337.72291031801,7.455651490967538,2.549626350402832,-1.811483086235187,-0.18768921268235295,0.7100342387380285,-0.3728597741444406,-0.20553186745777935,-0.017842654775426403,0.3550171193690142,-1.6059512187774077,9.869813022174572,11.47576424095198,11.663453453634332
JOR,Jordan,jordan,Jordan,2010,77074.9921875,1.8148953914642332,288038.40625,2.7801027297973637,10.12,15.77,57.93,16.18,0.1012,0.1577,0.5793,0.1618,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.4910983814017116,42468.008101181484,3.7371188510702695,2.7801027297973637,-1.0247897875166476,-0.1837305126672779,0.019376858408224118,-0.2863187131402105,-0.46036079660337637,-0.27663028393609845,0.009688429204112057,-0.5644289909132713,10.656506320893111,11.220935311806382,11.40466582447366
JPN,Japan,japan,Japan,2010,5114662.0,66.01461791992188,26394024.0,3.4973220825195312,0.12,12.71,57.04,30.13,0.0012,0.1271,0.5704,0.3013,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.7220341962934014,77477.71874108656,5.160462998336938,3.4973220825195312,-0.423550434519413,-0.09507477582957446,0.34208820836644227,-0.056809036962434334,0.01916029139121231,0.11423506722078677,0.1710441041832211,-0.4427107259106253,11.257745673890346,11.700456399800972,11.795531175630545
KAZ,Kazakhstan,kazakhstan,Kazakhstan,2010,331911.3125,7.8960113525390625,774337.3125,3.2301177978515625,0.04,3.04,74.1,22.83,0.0003999600039996,0.0303969603039696,0.7409259074092591,0.2282771722827717,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.716150620153757,42035.31348688724,2.332964509909556,3.2301177978515625,-1.0350307671094647,-0.09723857814002368,-0.4517983147499012,-0.13628798683188603,-0.4594257223468603,-0.3621871442068366,-0.22589915737495056,-0.5756050447626044,10.646265341300294,11.221870386062898,11.319108964202922
KEN,Kenya,kenya,Kenya,2010,109637.828125,17.694486618041992,267148.6875,2.165915012359619,26.48,44.45,21.15,7.92,0.2648,0.4445,0.2115,0.0791999999999999,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.0423089743569354,6196.157621957168,2.4366470229182133,2.165915012359619,-2.9496114678877987,-0.3823732249375733,-0.4083151721303423,-0.5359636826532784,-1.1224944936560228,-0.7401212687184495,-0.20415758606517112,-1.8271169742317759,8.73168464052196,10.558801614753737,10.94117483969131
KGZ,Kyrgyzstan,kyrgyzstan,Kyrgyzstan,2010,19835.63671875,2.3006112575531006,32824.3359375,3.1568760871887207,1.0,3.37,77.74,17.89,0.01,0.0337,0.7774,0.1789,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.663691777572055,8621.898486164464,1.65481634912542,3.1568760871887207,-2.6192355269872927,-0.1167411960342839,-0.7952480600856707,-0.1592236346967666,-0.6735888607738858,-0.5568476647396019,-0.3976240300428353,-1.9456466662134067,9.062060581422466,11.007707247635873,11.124448443670158
KHM,Cambodia,cambodia,Cambodia,2010,35353.07421875,7.587648868560791,75299.6796875,1.7256673574447632,28.33,56.16,13.46,2.04,0.2833283328332833,0.5616561656165616,0.1346134613461346,0.0204020402040204,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.8575241560586002,4659.2923356317215,2.1299330072846607,1.7256673574447632,-3.234677252128357,-0.47720974077637046,-0.542847568213875,-0.7631927437765831,-1.511826268659891,-1.0346165278835207,-0.27142378410693746,-1.722850983468466,8.446618856281402,10.169469839749869,10.64667958052624
KOR,Republic of Korea,republic of korea,Republic of Korea,2010,1780067.625,24.02872085571289,7213039.0,3.467933177947998,4.1,11.5,44.6,39.8,0.0409999999999999,0.115,0.446,0.3979999999999999,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.7759326033208356,74080.83167176934,4.052115154894747,3.467933177947998,-0.46838401248196426,-0.07546747890198358,0.1003009097942007,-0.06524780277294728,-0.09056482677783051,-0.01509734787584694,0.05015045489710034,-0.37781918570413375,11.212912095927795,11.590731281631928,11.666198760533913
KWT,Kuwait,kuwait,Kuwait,2010,233032.59375,1.7149981260299685,369998.59375,2.147635698318481,7.13,43.99,40.6,8.28,0.0713,0.4399,0.406,0.0828,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.259667789100927,135879.21188546412,1.5877546904315827,2.147635698318481,0.13822551377040249,-0.281236436402993,-0.8366172216276153,-0.5444390314720724,-1.243984078688873,-0.9627476422858801,-0.4183086108138076,1.3822095924592754,11.819521622180162,10.437312029720886,10.71854846612388
LAO,Lao People's DR,lao people s dr,Lao People's Democratic Republic,2010,27937.341796875,3.1165771484375,79174.6015625,1.8109501600265503,34.59,35.61,24.72,5.07,0.345934593459346,0.3561356135613561,0.2472247224722472,0.0507050705070507,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.983700464583309,8964.110453957934,2.8340062608016727,1.8109501600265503,-2.580311951615064,-0.41149022095689336,-0.25724674502060174,-0.7149549354940802,-1.2550685289612744,-0.843578308004381,-0.12862337251030084,-1.3252434226537897,9.100984156794695,10.426227579448485,10.837717800405379
LBR,Liberia,liberia,Liberia,2010,3420.869873046875,1.3166669607162476,10724.943359375,1.724601984024048,55.8,17.53,21.36,5.32,0.557944205579442,0.1752824717528247,0.2135786421357864,0.0531946805319468,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.8753888133473056,2598.128437267061,3.1351509286796073,1.724601984024048,-3.818749475423868,-0.4676382378658315,-0.15626077941601912,-0.763810303363465,-1.309578930937306,-0.8419406930714746,-0.07813038970800955,-2.5091705444865617,7.862546632985891,10.371717177472453,10.839355415338284
LKA,Sri Lanka,sri lanka,Sri Lanka,2010,186457.375,7.700440883636475,424523.6875,2.8846120834350586,5.4,20.57,59.92,14.11,0.054,0.2057,0.5992000000000001,0.1411,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.486354284242647,24213.85707878416,2.2767867857197923,2.8846120834350586,-1.5866157535802348,-0.1856367482115654,-0.47617295100767765,-0.2494161622195301,-0.6731393859349343,-0.4875026377233689,-0.2380864755038388,-0.9134763676453006,10.094680354829524,11.008156722474824,11.19379347068639
LSO,Lesotho,lesotho,Lesotho,2010,5373.1884765625,0.6009471416473389,22548.703125,2.014831304550171,15.69,63.44,18.98,1.89,0.1569,0.6344000000000001,0.1898,0.0189,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.951544507279273,8941.199823054843,4.196521901912799,2.014831304550171,-2.582871040851943,-0.42783312882855173,0.13531796815595798,-0.6082711212567959,-0.9684452660073687,-0.540612137178817,0.06765898407797898,-1.614425774844574,9.098425067557816,10.712850842402391,11.140683971230942
LTU,Lithuania,lithuania,Lithuania,2010,65531.7421875,1.2599159479141235,271580.5,3.149652004241944,0.0,8.37,62.35,29.29,0.0,0.0836916308369163,0.6234376562343766,0.2928707129287071,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.7406260091841825,52012.78886579081,4.144258811599293,3.149652004241944,-0.8220512013576649,-0.0882678780994357,0.12278586208193532,-0.16151462143360473,-0.18838956849207278,-0.10012169039263707,0.06139293104096765,-0.6336616328655921,10.859244907052094,11.492906539917687,11.581174418017122
LUX,Luxembourg,luxembourg,Luxembourg,2010,34426.83984375,0.3591741323471069,159612.40625,3.186408281326294,4.87,20.41,42.8,31.92,0.0487,0.2041,0.428,0.3192,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.6515751646082784,95849.99793492869,4.636278176400113,3.186408281326294,-0.2107563814807918,-0.12130037775881719,0.2349738317533694,-0.14991224148255688,-0.15372570336468938,-0.032425325605872204,0.11748691587668468,-0.05703067811610241,11.470539726928967,11.52757040504507,11.648870782803886
LVA,Latvia,latvia,Latvia,2010,40952.0234375,0.8519376516342163,272943.28125,3.0294175148010254,0.22,4.29,77.51,17.98,0.0022,0.0429,0.7751,0.1798,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.665950108359144,48069.27286162833,6.664952262165007,3.0294175148010254,-0.9008976742925316,-0.11589373537160441,0.5979246956776036,-0.20043623162319224,-0.017367619155994884,0.09852611621560953,0.29896234783880177,-0.8835300551365368,10.780398434117227,11.663928489253765,11.779822224625368
MAC,"China, Macao SAR",china macao sar,"China, Macao Special Administrative Region",2010,56330.0390625,0.3183000087738037,124072.0625,2.5749733448028564,3.75,24.71,53.4,18.13,0.0375037503750375,0.2471247124712471,0.534053405340534,0.1813181318131813,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.5130578923136246,176971.52846304287,2.2025914514694023,2.5749733448028564,0.40244803406647023,-0.17495394748071347,-0.5093034958293384,-0.3629674107952734,-0.792573106190656,-0.6176191587099426,-0.25465174791466916,1.1950211402571262,12.08374414247623,10.888723002219104,11.063676949699817
MAR,Morocco,morocco,Morocco,2010,223102.84375,10.911794662475586,1106021.125,1.7502882480621338,50.89,23.79,15.96,9.36,0.5089,0.2379,0.1596,0.0935999999999999,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.9333315156143949,20446.02658417182,4.9574496963353925,1.7502882480621338,-1.7557522648798223,-0.43720955422480845,0.3019533389165099,-0.7490261057744654,-1.0352589905410188,-0.5980494363162104,0.15097666945825491,-0.7204932743388033,9.925543843529937,10.64603711786874,11.083246672093548
MDA,Republic of Moldova,republic of moldova,Republic of Moldova,2010,20961.734375,1.245815396308899,58721.80859375,3.066927909851074,1.11,5.1,76.82,16.97,0.0111,0.051,0.7682,0.1697,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.644637224161301,16825.714658131063,2.801381199820208,3.066927909851074,-1.9506324788327234,-0.12392034233210902,-0.26882551425569035,-0.18813021357101478,-0.446463313030969,-0.32254297069885995,-0.13441275712784514,-1.5041691658017546,9.730663629577036,11.23483279537879,11.358753137710899
MDV,Maldives,maldives,Maldives,2010,5255.90478515625,0.1197959035634994,13887.9150390625,1.7761234045028689,29.47,40.46,28.24,1.83,0.2946999999999999,0.4046,0.2824,0.0183,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.9685095592335324,43873.82730804554,2.64234524915383,1.7761234045028689,-0.9922228760205467,-0.4191775554189685,-0.3272712207021836,-0.7343734666511019,-1.317186632421162,-0.8980090770021937,-0.16363561035109178,0.3249637564006155,10.689073232389212,10.364109475988597,10.783287031407566
MEX,Mexico,mexico,Mexico,2010,1925128.875,46.121620178222656,7250142.5,2.599172830581665,9.34,34.35,38.65,17.67,0.0933906609339066,0.3434656534346565,0.3864613538646135,0.1766823317668233,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.3945707561468654,41740.269911614945,3.7660556621176853,2.599172830581665,-1.0420744613017519,-0.22325025309988922,0.02709011483350965,-0.35361334099899155,-0.563318536682126,-0.34006828358223673,0.013545057416754823,-0.4787559246196259,10.639221647108007,11.117977571727634,11.341227824827522
MLI,Mali,mali,Mali,2010,30366.767578125,4.4653000831604,34214.75390625,1.2226152420043943,81.37,8.3,8.41,1.91,0.8137813781378138,0.083008300830083,0.0841084108410841,0.0191019101910191,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.5656040243374496,6800.61071206492,1.1267170211062218,1.2226152420043943,-2.856528410680509,-0.6481825353366106,-1.1796299823439038,-1.1078143879122775,-2.34581191442084,-1.6976293790842294,-0.5898149911719518,-0.5107164962596691,8.82476769772925,9.335484193988918,9.98366672932553
MLT,Malta,malta,Malta,2010,11165.517578125,0.1628058403730392,41957.26171875,2.999403238296509,1.92,28.34,56.25,13.49,0.0192,0.2834,0.5625,0.1349,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.464733753488734,68581.79996824008,3.757753406877515,2.999403238296509,-0.545513636481223,-0.19437045200318526,0.02488318519620991,-0.2103932450115651,-0.3923221044166454,-0.19795165241346013,0.012441592598104954,-0.15319153206457758,11.135782471928536,11.288974003993113,11.4833444559963
MMR,Myanmar,myanmar,Myanmar,2010,186192.46875,20.4996280670166,259063.375,1.7253780364990234,21.72,59.08,11.71,7.48,0.2172217221722172,0.5908590859085909,0.1171117111711171,0.0748074807480748,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.9796252690456324,9082.724239742627,1.3913740804835857,1.7253780364990234,-2.5671666554099684,-0.41354667417206326,-0.968646289499381,-0.7633604152577669,-1.6612302341795206,-1.2476835600074574,-0.48432314474969046,-0.9059364212304477,9.11412945299979,10.020065874230239,10.433612548402301
MNG,Mongolia,mongolia,Mongolia,2010,23815.85546875,1.1746999025344849,131963.734375,2.7936272621154785,4.46,10.75,61.06,23.74,0.0445955404459554,0.1074892510748925,0.6105389461053895,0.2373762623737626,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.640744394107622,20273.991184783343,5.5410033264669565,2.7936272621154785,-1.7642019872715267,-0.125393398031301,0.41323749476041494,-0.2814657479334082,-0.20024039858450174,-0.07484700055320073,0.20661874738020744,-1.5639615886870248,9.917094121138232,11.481055709825258,11.606449107856559
MOZ,Mozambique,mozambique,Mozambique,2010,28875.5,8.550308227539062,45839.5234375,1.1809171438217163,74.6,21.77,3.13,0.5,0.746,0.2177,0.0313,0.005,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.5116117167280683,3377.129716446597,1.5874884742255546,1.1809171438217163,-3.5565146770217204,-0.6832777992366633,-0.8367849040335583,-1.142515216215071,-2.2441854674685136,-1.5609076682318501,-0.4183924520167791,-1.312329209553207,8.124781431388039,9.437110640941246,10.120388440177909
MRT,Mauritania,mauritania,Mauritania,2010,15612.0673828125,0.8530433773994446,74895.2578125,1.6570870876312256,44.58,41.03,12.14,2.25,0.4458,0.4103,0.1214,0.0225,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.7806057639597652,18301.6102069825,4.79726713804432,1.6570870876312256,-1.8665517839984958,-0.5195006196684951,0.2691083140724102,-0.8037452988494672,-1.1886917614817571,-0.6691911418132621,0.13455415703620507,-0.6778600225167385,9.814744324411263,10.492604346928001,11.012104966596496
MUS,Mauritius,mauritius,Mauritius,2010,21325.560546875,0.5205148458480835,82749.40625,2.4764835834503174,6.63,39.39,48.7,5.28,0.0663,0.3939,0.487,0.0528,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.2658877207883497,40970.12931903779,3.8802921999687325,2.4764835834503174,-1.0606975814413655,-0.2784876310506874,0.05697236460832089,-0.40196694923217247,-0.6519683979786994,-0.373480766928012,0.028486182304160442,-0.40872918346266607,10.620598526968394,11.02932771043106,11.307815341481747
MWI,Malawi,malawi,Malawi,2010,16858.490234375,5.936855792999268,36953.86328125,1.6919158697128296,29.61,54.11,15.93,0.36,0.2960703929607039,0.541045895410459,0.1592840715928407,0.0035996400359964,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.8378074826420385,2839.6327655885643,2.19200312527986,1.6919158697128296,-3.7298660935068444,-0.4878809673114154,-0.5141223006104402,-0.7829450557686364,-1.5278871733852717,-1.0400062060738564,-0.25706115030522003,-2.2019789201215723,7.951430014902915,10.153408935024487,10.641289902335902
MYS,Malaysia,malaysia,Malaysia,2010,562027.8125,12.03965187072754,1915010.125,2.883427619934082,8.78,23.0,51.85,16.37,0.0877999999999999,0.23,0.5185,0.1637,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.46019052661627,46681.40063638214,3.407322702557536,2.883427619934082,-0.9301950173955245,-0.1962154461199802,-0.07301124375785939,-0.2498268610283243,-0.4825479290272342,-0.286332482907254,-0.03650562187892969,-0.44764708836829026,10.751101091014235,11.198748179382525,11.394963625502506
NAM,Namibia,namibia,Namibia,2010,19007.91796875,0.5895745754241943,72003.046875,2.138727903366089,20.92,45.23,31.68,2.17,0.2092,0.4523,0.3167999999999999,0.0217,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.0352327404659047,32240.057087051202,3.7880554300253575,2.138727903366089,-1.300331141100589,-0.38584406177491704,0.03291471281365377,-0.5485953787182863,-0.9179820840863765,-0.5321380223114595,0.01645735640682688,-0.3823490570142124,10.38096496730917,10.763314024323382,11.1491580860983
