countrycode,country,country_norm,country_barro_lee,year,rgdpo,emp,cn,hc,no_schooling_raw_pct,primary_total_raw_pct,secondary_total_raw_pct,tertiary_total_raw_pct,theta_no_schooling,theta_primary,theta_secondary,theta_tertiary,theta_sum,theta_sum_before_norm
ALB,Albania,albania,Albania,2010,31021.064453125,0.8908183574676514,157940.078125,2.9040780067443848,3.86,10.91,83.77,1.46,0.038599999999999995,0.1091,0.8377,0.0146,1.0,1.0
ARE,United Arab Emirates,united arab emirates,United Arab Emirates,2010,618895.25,5.272982120513916,2595549.0,2.717432737350464,10.2,25.51,48.32,15.98,0.101989801019898,0.25507449255074494,0.4831516848315169,0.15978402159784022,1.0,1.0001
ARG,Argentina,argentina,Argentina,2010,784810.125,18.076745986938477,2702753.0,2.830078363418579,1.12,41.94,45.2,11.74,0.011200000000000002,0.4194,0.452,0.1174,1.0,1.0
ARM,Armenia,armenia,Armenia,2010,25550.779296875,1.1600652933120728,51933.57421875,3.111227512359619,0.41,5.12,73.07,21.4,0.0041,0.05120000000000001,0.7307,0.21400000000000002,1.0,0.9999999999999999
AUS,Australia,australia,Australia,2010,1112663.75,11.121260643005371,4208504.0,3.4289608001708984,0.78,6.48,54.73,38.0,0.007800780078007801,0.06480648064806481,0.5473547354735474,0.38003800380038005,1.0,0.9999
AUT,Austria,austria,Austria,2010,385229.0625,4.096951007843018,1799280.875,3.282888174057007,1.48,21.75,59.39,17.39,0.014798520147985203,0.21747825217478253,0.5938406159384062,0.17388261173882613,1.0,1.0001
BDI,Burundi,burundi,Burundi,2010,6650.67236328125,3.7510135173797607,13177.482421875,1.297952651977539,57.28,35.99,5.86,0.87,0.5728,0.3599,0.058600000000000006,0.0087,1.0,1.0
BEL,Belgium,belgium,Belgium,2010,489332.59375,4.499626159667969,2433023.5,3.092796802520752,5.0,15.36,49.64,30.0,0.05,0.1536,0.4964,0.3,1.0,1.0
BEN,Benin,benin,Benin,2010,19116.169921875,3.3049874305725098,56056.1796875,1.5562914609909058,64.09,16.76,16.05,3.11,0.6408359164083592,0.16758324167583244,0.16048395160483953,0.031096890310968902,1.0000000000000002,1.0001
BGD,Bangladesh,bangladesh,Bangladesh,2010,391172.8125,54.435997009277344,1154218.875,1.8734359741210938,41.99,20.27,33.17,4.58,0.41985801419858015,0.20267973202679732,0.33166683331666835,0.045795420457954206,1.0,1.0001
BGR,Bulgaria,bulgaria,Bulgaria,2010,123621.28125,3.2534754276275635,329768.09375,3.082859516143799,2.26,5.33,68.88,23.53,0.0226,0.0533,0.6888,0.2353,1.0,1.0
BHR,Bahrain,bahrain,Bahrain,2010,57765.90625,0.5914424657821655,222730.640625,2.2646985054016113,31.7,13.4,45.42,9.48,0.317,0.134,0.4542,0.09480000000000001,1.0,1.0
BLZ,Belize,belize,Belize,2010,2510.125244140625,0.1202249825000763,4675.4990234375,3.2668745517730713,0.1,15.96,78.22,5.72,0.001,0.15960000000000002,0.7822,0.0572,1.0,1.0
BOL,Bolivia (Plurinational State of),bolivia plurinational state of,Bolivia,2010,52741.2421875,4.4446258544921875,111501.265625,2.718721389770508,13.53,39.53,24.16,22.77,0.1353135313531353,0.39533953395339533,0.24162416241624163,0.2277227722772277,1.0,0.9999
BRA,Brazil,brazil,Brazil,2010,2938155.5,86.35382843017578,11923873.0,2.4733617305755615,12.37,37.01,39.32,11.3,0.12369999999999999,0.3701,0.3932,0.113,1.0,1.0
BRB,Barbados,barbados,Barbados,2010,4747.01904296875,0.12700000405311584,19015.26953125,2.8000993728637695,0.02,11.31,86.53,2.14,0.00020000000000000004,0.11310000000000002,0.8653000000000001,0.021400000000000006,1.0000000000000002,0.9999999999999999
BRN,Brunei Darussalam,brunei darussalam,Brunei Darussalam,2010,31861.44140625,0.1790456622838974,109991.0078125,2.6969714164733887,20.61,13.52,55.2,10.67,0.2061,0.1352,0.552,0.1067,1.0,1.0
BWA,Botswana,botswana,Botswana,2010,28866.9140625,0.7740967273712158,132045.25,2.7158873081207275,15.73,8.59,71.58,4.1,0.1573,0.0859,0.7158,0.040999999999999995,1.0,1.0
CAF,Central African Republic,central african republic,Central African Republic,2010,4916.849609375,1.7110685110092163,18676.53125,1.4683477878570557,53.27,28.67,16.12,1.94,0.5327,0.28669999999999995,0.16119999999999998,0.019399999999999997,0.9999999999999999,1.0000000000000002
CAN,Canada,canada,Canada,2010,1558715.625,17.295398712158203,5941241.0,3.65504789352417,0.58,5.5,46.25,47.67,0.0058,0.055,0.4625,0.4767,1.0,1.0
CHE,Switzerland,switzerland,Switzerland,2010,505411.15625,4.38947868347168,1993188.125,3.6348724365234375,1.44,2.77,62.59,33.2,0.0144,0.0277,0.6259,0.332,1.0,1.0
CHL,Chile,chile,Chile,2010,342195.9375,6.889198303222656,1132028.25,2.9787709712982178,2.95,22.0,56.97,18.08,0.029500000000000005,0.22000000000000003,0.5697000000000001,0.18080000000000002,1.0000000000000002,0.9999999999999999
CHN,China,china,China,2010,13847619.0,781.0355224609375,49973752.0,2.4410219192504883,6.59,28.09,61.75,3.58,0.0658934106589341,0.2808719128087191,0.6174382561743826,0.0357964203579642,1.0,1.0001
CIV,Côte d'Ivoire,cote d ivoire,Cote dIvoire,2010,57416.21875,5.853764057159424,123600.3671875,1.5302809476852417,46.95,30.69,17.33,5.03,0.46950000000000003,0.3069,0.17329999999999998,0.050300000000000004,1.0,1.0
CMR,Cameroon,cameroon,Cameroon,2010,59721.0703125,8.527642250061035,160065.09375,1.8698792457580566,18.24,53.76,25.54,2.47,0.1823817618238176,0.5375462453754625,0.25537446255374463,0.024697530246975307,1.0,1.0001
COD,D.R. of the Congo,d r of the congo,Democratic Republic of the Congo,2010,45981.0234375,19.699716567993164,191153.921875,1.6226963996887207,44.18,33.42,21.22,1.18,0.44179999999999997,0.3342,0.2122,0.0118,1.0,1.0
COG,Congo,congo,Congo,2010,24714.2109375,1.4761216640472412,99944.21875,2.023773670196533,32.1,24.66,40.95,2.29,0.321,0.2466,0.40950000000000003,0.0229,1.0,1.0
COL,Colombia,colombia,Colombia,2010,540688.4375,18.89134407043457,1768257.75,2.3859755992889404,7.93,35.75,36.57,19.76,0.07929207079292071,0.3574642535746425,0.36566343365663434,0.19758024197580246,1.0,1.0001
CRI,Costa Rica,costa rica,Costa Rica,2010,62831.0078125,1.9407755136489868,170760.609375,2.5200469493865967,5.48,52.12,23.56,18.84,0.05480000000000001,0.5212000000000001,0.2356,0.18840000000000004,1.0000000000000002,0.9999999999999999
CYP,Cyprus,cyprus,Cyprus,2010,26422.625,0.3456670939922333,162017.734375,2.722369432449341,0.86,23.3,44.95,30.89,0.0086,0.233,0.4495,0.3089,1.0,1.0
CZE,Czech Republic,czech republic,Czech Republic,2010,318896.5625,5.0989909172058105,1715475.0,3.6364033222198486,0.14,0.05,83.29,16.52,0.0014000000000000002,0.0005,0.8329000000000001,0.16519999999999999,1.0,1.0
DEU,Germany,germany,Germany,2010,3672402.0,40.63188171386719,15333157.0,3.6533331871032715,1.84,1.64,72.25,24.27,0.0184,0.016399999999999998,0.7225,0.2427,1.0,1.0
DNK,Denmark,denmark,Denmark,2010,271409.96875,2.7914505004882812,1166865.375,3.4391186237335205,2.89,6.9,61.63,28.6,0.02889422115576885,0.06898620275944811,0.6161767646470707,0.2859428114377125,1.0000000000000002,1.0002
DOM,Dominican Republic,dominican republic,Dominican Rep.,2010,126976.6953125,3.8970165252685547,417298.3125,2.4240472316741943,10.8,35.36,43.57,10.27,0.10800000000000001,0.35359999999999997,0.4357,0.1027,1.0,1.0
DZA,Algeria,algeria,Algeria,2010,532781.75,9.781851768493652,2139251.75,2.039870500564575,26.99,44.15,18.73,10.13,0.2699,0.4415,0.1873,0.1013,1.0,1.0
ECU,Ecuador,ecuador,Ecuador,2010,148737.3125,6.7334184646606445,644770.25,2.705012559890747,10.63,49.59,28.22,11.55,0.1063106310631063,0.4959495949594959,0.2822282228222822,0.11551155115511551,0.9999999999999999,0.9999000000000001
EGY,Egypt,egypt,Egypt,2010,862343.0625,22.842914581298828,1214617.375,2.356199026107788,37.39,10.51,42.03,10.08,0.37386261373862617,0.1050894910508949,0.42025797420257976,0.10078992100789921,1.0000000000000002,1.0001
ESP,Spain,spain,Spain,2010,1622292.375,19.412738800048828,10037753.0,2.803053140640259,2.49,30.12,41.72,25.67,0.024900000000000002,0.3012,0.4172,0.25670000000000004,1.0,1.0
EST,Estonia,estonia,Estonia,2010,31773.455078125,0.5611211657524109,152235.3125,3.472615957260132,0.18,4.62,60.39,34.81,0.0018,0.0462,0.6039,0.3481,1.0,1.0
FIN,Finland,finland,Finland,2010,233241.90625,2.4958302974700928,1161520.625,3.335679292678833,0.37,28.69,39.34,31.61,0.0036996300369963007,0.28687131286871315,0.3933606639336067,0.3160683931606839,1.0,1.0001
FJI,Fiji,fiji,Fiji,2010,7454.62548828125,0.282317191362381,15130.935546875,2.6106793880462646,3.02,32.65,51.19,13.13,0.030203020302030203,0.32653265326532654,0.5119511951195119,0.1313131313131313,1.0,0.9999
FRA,France,france,France,2010,2591608.5,26.876161575317383,13083475.0,3.05643367767334,1.55,19.23,54.78,24.43,0.015501550155015502,0.1923192319231923,0.5478547854785479,0.2443244324432443,1.0,0.9999
GAB,Gabon,gabon,Gabon,2010,22436.4453125,0.4558199942111969,114987.9921875,2.450770616531372,19.19,35.64,32.98,12.18,0.19191919191919193,0.3564356435643564,0.32983298329832983,0.1218121812181218,0.9999999999999999,0.9999
GBR,United Kingdom,united kingdom,United Kingdom,2010,2481864.75,29.42511749267578,10976813.0,3.7031314373016357,0.16,15.9,55.6,28.34,0.0016,0.159,0.556,0.2834,1.0,1.0
GHA,Ghana,ghana,Ghana,2010,108134.703125,10.33951187133789,599238.625,2.2591521739959717,35.33,10.35,51.19,3.13,0.3533,0.1035,0.5119,0.0313,1.0,1.0
GMB,Gambia,gambia,Gambia,2010,5301.68603515625,0.5280076861381531,14040.560546875,1.458304762840271,72.7,3.02,22.36,1.93,0.726927307269273,0.030196980301969805,0.22357764223577642,0.0192980701929807,0.9999999999999999,1.0001
GRC,Greece,greece,Greece,2010,324407.4375,4.6371541023254395,1916699.875,2.9418528079986572,2.79,34.06,36.31,26.84,0.0279,0.3406,0.36310000000000003,0.26839999999999997,1.0,1.0
GTM,Guatemala,guatemala,Guatemala,2010,101553.3046875,5.213250637054443,322549.5625,1.7620407342910767,31.24,46.18,22.55,0.02,0.3124312431243124,0.46184618461846183,0.22552255225522552,0.00020002000200020003,0.9999999999999999,0.9999
HKG,"China, Hong Kong SAR",china hong kong sar,"China, Hong Kong Special Administrative Region",2010,385726.3125,3.493873357772827,1744682.25,3.1425347328186035,6.28,19.75,56.75,17.21,0.0628062806280628,0.1975197519751975,0.5675567556755675,0.1721172117211721,0.9999999999999999,0.9999000000000001
HND,Honduras,honduras,Honduras,2010,34200.609375,3.106600046157837,120599.1640625,2.066002130508423,18.72,53.63,22.53,5.12,0.18719999999999998,0.5363,0.2253,0.0512,1.0,1.0
HRV,Croatia,croatia,Croatia,2010,93659.1328125,1.8147594928741455,429728.34375,3.229398488998413,1.93,8.85,70.93,18.29,0.019299999999999998,0.0885,0.7093,0.18289999999999998,1.0,1.0
HTI,Haiti,haiti,Haiti,2010,18175.68359375,3.7120659351348877,141109.75,1.6132984161376953,35.12,36.39,27.47,1.03,0.3511648835116488,0.3638636136386361,0.2746725327467253,0.010298970102989701,1.0,1.0001
HUN,Hungary,hungary,Hungary,2010,236413.09375,3.92093825340271,1004131.875,3.274661064147949,0.28,1.81,78.48,19.43,0.0028000000000000004,0.0181,0.7848,0.1943,1.0,1.0
IDN,Indonesia,indonesia,Indonesia,2010,1977505.375,108.15474700927734,10173204.0,2.4167702198028564,9.47,48.24,34.79,7.5,0.09470000000000002,0.48240000000000005,0.34790000000000004,0.07500000000000001,1.0,0.9999999999999999
IND,India,india,India,2010,5621831.5,467.4125061035156,20219374.0,1.9660980701446533,42.29,15.63,33.0,9.08,0.4229,0.1563,0.33,0.0908,1.0,1.0
IRL,Ireland,ireland,Ireland,2010,241319.515625,1.8831759691238403,1015873.6875,3.031862735748291,0.84,18.09,36.81,44.25,0.0084008400840084,0.18091809180918092,0.3681368136813682,0.44254425442544254,1.0,0.9999
IRN,Iran (Islamic Republic of),iran islamic republic of,Iran (Islamic Republic of),2010,1410083.0,20.674331665039062,5287025.0,2.1219894886016846,16.82,22.39,42.52,18.27,0.16820000000000002,0.22390000000000002,0.4252,0.1827,1.0,1.0
IRQ,Iraq,iraq,Iraq,2010,389782.8125,6.4105424880981445,606313.0,2.173938512802124,28.09,32.88,24.76,14.27,0.2809,0.32880000000000004,0.24760000000000001,0.1427,1.0,1.0
ISL,Iceland,iceland,Iceland,2010,13883.66796875,0.1644422709941864,64045.796875,3.0527257919311523,1.53,34.97,35.84,27.65,0.015301530153015303,0.3497349734973497,0.3584358435843585,0.27652765276527647,1.0,0.9999
ISR,Israel,israel,Israel,2010,240089.125,3.380554437637329,801228.625,3.539247989654541,3.05,11.84,41.86,43.25,0.0305,0.1184,0.41859999999999997,0.4325,1.0,1.0
ITA,Italy,italy,Italy,2010,2293011.0,24.79245376586914,12506324.0,2.996690273284912,6.3,19.87,61.69,12.13,0.063006300630063,0.19871987198719873,0.6169616961696169,0.12131213121312132,1.0,0.9999
JAM,Jamaica,jamaica,Jamaica,2010,21172.873046875,1.0949000120162964,157857.5625,2.549626350402832,5.21,22.59,57.46,14.73,0.0521052105210521,0.2259225922592259,0.5746574657465746,0.14731473147314733,1.0,0.9999
JOR,Jordan,jordan,Jordan,2010,77074.9921875,1.8148953914642334,288038.40625,2.7801027297973633,10.12,15.77,57.93,16.18,0.1012,0.1577,0.5793,0.1618,1.0,1.0
JPN,Japan,japan,Japan,2010,5114662.0,66.01461791992188,26394024.0,3.4973220825195312,0.12,12.71,57.04,30.13,0.0012,0.12710000000000002,0.5704,0.3013,1.0,1.0
KAZ,Kazakhstan,kazakhstan,Kazakhstan,2010,331911.3125,7.8960113525390625,774337.3125,3.2301177978515625,0.04,3.04,74.1,22.83,0.00039996000399960006,0.030396960303969604,0.7409259074092591,0.2282771722827717,1.0,1.0001
KEN,Kenya,kenya,Kenya,2010,109637.828125,17.694486618041992,267148.6875,2.165915012359619,26.48,44.45,21.15,7.92,0.2648,0.4445,0.2115,0.07919999999999999,1.0,1.0
KGZ,Kyrgyzstan,kyrgyzstan,Kyrgyzstan,2010,19835.63671875,2.3006112575531006,32824.3359375,3.1568760871887207,1.0,3.37,77.74,17.89,0.01,0.0337,0.7774,0.1789,1.0,1.0
KHM,Cambodia,cambodia,Cambodia,2010,35353.07421875,7.587648868560791,75299.6796875,1.7256673574447632,28.33,56.16,13.46,2.04,0.28332833283328335,0.5616561656165616,0.1346134613461346,0.020402040204020404,0.9999999999999999,0.9999
KOR,Republic of Korea,republic of korea,Republic of Korea,2010,1780067.625,24.02872085571289,7213039.0,3.467933177947998,4.1,11.5,44.6,39.8,0.040999999999999995,0.115,0.446,0.39799999999999996,1.0,1.0
